Date,Close,High,Low,Open,Volume,ticker,sector,log_ret,obs_smoothed,z_vol,z_rsi,z_obv_roc,z_vix,z_dxy_ret
2018-01-02,10.979999542236328,11.020000457763672,10.34000015258789,10.420000076293945,44146300,AMD,Semiconductors,,,,,,,
2018-01-03,11.550000190734863,12.140000343322754,11.359999656677246,11.609999656677246,154066700,AMD,Semiconductors,0.05061005909094012,,,1.0,,,
2018-01-04,12.119999885559082,12.430000305175781,11.970000267028809,12.100000381469727,109503000,AMD,Semiconductors,0.0481715177172049,,,1.0,,,
2018-01-05,11.880000114440918,12.220000267028809,11.65999984741211,12.1899995803833,63808900,AMD,Semiconductors,-0.02000064763127562,,,0.9686275109025305,,,
2018-01-08,12.279999732971191,12.300000190734863,11.850000381469727,12.010000228881836,63346000,AMD,Semiconductors,0.03311557740640636,,,0.9702999109146263,,,
2018-01-09,11.819999694824219,12.020000457763672,11.710000038146973,12.0,62560900,AMD,Semiconductors,-0.03817891481462144,0.014743518353730865,,0.9102081567383283,,,
2018-01-10,11.960000038146973,12.149999618530273,11.5600004196167,11.630000114440918,52561200,AMD,Semiconductors,0.011774765552674125,0.006976459646077665,,0.9119945391266994,0.6428410552053103,,
2018-01-11,12.140000343322754,12.1899995803833,11.899999618530273,12.069999694824219,38354900,AMD,Semiconductors,0.014938062199612686,0.0003297685425592223,,0.9143537920647309,0.10582513847380781,,
2018-01-12,12.020000457763672,12.069999694824219,11.800000190734863,11.819999694824219,47149300,AMD,Semiconductors,-0.009933846721083583,0.002343128724597629,,0.8970877777555253,0.22302623938230126,,
2018-01-16,11.90999984741211,12.199999809265137,11.800000190734863,12.050000190734863,42686600,AMD,Semiconductors,-0.009193596635097903,-0.006118706083703224,,0.8806709054031769,-0.23367202976129842,,
2018-01-17,12.180000305175781,12.1899995803833,11.819999694824219,11.899999618530273,39020800,AMD,Semiconductors,0.022416916781770515,0.006000460235575168,,0.8861769507822285,0.19995921133266759,,
2018-01-18,12.470000267028809,12.680000305175781,12.149999618530273,12.180000305175781,62086200,AMD,Semiconductors,0.023530493768408798,0.008351605878722102,,0.8919440856432905,0.19606719843101983,,
2018-01-19,12.59000015258789,12.880000114440918,12.539999961853027,12.5600004196167,46800700,AMD,Semiconductors,0.009577079070382116,0.007279409252875987,,0.8943299695001966,0.19924312603358252,,
2018-01-22,12.649999618530273,12.739999771118164,12.369999885559082,12.609999656677246,34758600,AMD,Semiconductors,0.004754324841794567,0.010217043565451618,,0.8955715385331438,0.5729530229087558,,
2018-01-23,12.9399995803833,13.0,12.760000228881836,12.819999694824219,46417200,AMD,Semiconductors,0.022666071627059952,0.01658897721788319,,0.901590104816151,1.1361797902156519,,
2018-01-24,12.710000038146973,13.050000190734863,12.600000381469727,13.020000457763672,41956400,AMD,Semiconductors,-0.01793416844218121,0.008518760173092844,,0.8592912813477822,0.6154506872932914,,
2018-01-25,12.40999984741211,12.9399995803833,12.319999694824219,12.779999732971191,42966600,AMD,Semiconductors,-0.0238865012817416,-0.0009646388369372351,,0.8061635177951618,0.1422160312169367,,
2018-01-26,12.949999809265137,12.949999809265137,12.619999885559082,12.699999809265137,44239000,AMD,Semiconductors,0.04259318649602923,0.005638582648192188,,0.8269085292456196,0.11584516289983982,,
2018-01-29,13.319999694824219,13.470000267028809,13.050000190734863,13.130000114440918,66645400,AMD,Semiconductors,0.02817086878416234,0.010321891436665741,,0.8395773553505805,0.18834252251670858,,
2018-01-30,12.869999885559082,13.270000457763672,12.6899995803833,13.119999885559082,91236400,AMD,Semiconductors,-0.034367629485181087,-0.001084848785782465,,0.7661327104583099,-0.15155222915857924,,
