Date,Close,High,Low,Open,Volume,ticker,sector,log_ret,obs_smoothed,z_vol,z_rsi,z_obv_roc,z_vix,z_dxy_ret
2018-01-04,23506.330078125,23506.330078125,23065.19921875,23073.73046875,102200000,^N225,Indices,,,,,,,
2018-01-05,23714.529296875,23730.470703125,23520.51953125,23643.0,101900000,^N225,Indices,0.008818160898983943,,,1.0,,,
2018-01-09,23849.990234375,23952.609375,23789.029296875,23948.970703125,94100000,^N225,Indices,0.005695897070650848,,,1.0,,,
2018-01-10,23788.19921875,23864.759765625,23755.44921875,23832.810546875,88800000,^N225,Indices,-0.002594181306538007,,,0.9771215408907041,,,
2018-01-11,23710.4296875,23734.970703125,23601.83984375,23656.390625,83700000,^N225,Indices,-0.0032746040268760886,,,0.9477327649867563,,,
2018-01-12,23653.8203125,23743.05078125,23588.0703125,23719.66015625,93700000,^N225,Indices,-0.0023903852359203255,0.001250977480060074,,0.9259023663660961,,,
2018-01-15,23714.880859375,23833.26953125,23685.01953125,23827.98046875,75400000,^N225,Indices,0.0025780981612229777,2.964932507880987e-06,,0.9278333098852853,-0.9489695780176644,,
2018-01-16,23951.810546875,23962.0703125,23701.830078125,23721.169921875,68500000,^N225,Indices,0.009941182480395832,0.0008520220144568779,,0.9349201884937579,-0.6239795918367347,,
2018-01-17,23868.33984375,23891.630859375,23739.169921875,23783.419921875,82200000,^N225,Indices,-0.0034910299200906925,0.0006726522917463408,,0.9013382857833879,-1.0792910447761195,,
2018-01-18,23763.369140625,24084.419921875,23699.470703125,24078.9296875,99400000,^N225,Indices,-0.004407604736501091,0.0004460521498213403,,0.8595255788541697,-5.591489361702128,,
2018-01-19,23808.060546875,23872.689453125,23735.609375,23854.109375,71800000,^N225,Indices,0.0018789184891667143,0.001299912894838748,,0.8624511985657812,-0.48575498575498577,,
2018-01-22,23816.330078125,23816.330078125,23697.810546875,23797.83984375,65200000,^N225,Indices,0.0003472813499378997,0.0008537495325817327,,0.8630196853037958,4.596153846153846,,
2018-01-23,24124.150390625,24129.33984375,23916.01953125,23924.400390625,73400000,^N225,Indices,0.012841946507109622,0.0014339023379244906,,0.8824887096340599,0.39077340569877883,,
2018-01-24,23940.779296875,24072.76953125,23917.140625,24026.4296875,79900000,^N225,Indices,-0.007630177952652895,0.0006060727314120501,,0.8087464097958539,-3.6588235294117646,,
2018-01-25,23669.490234375,23828.400390625,23649.029296875,23750.650390625,81500000,^N225,Indices,-0.011396364748686558,-0.0007916792710250433,,0.7137244105759804,-0.45412418906394814,,
2018-01-26,23631.880859375,23797.9609375,23592.279296875,23757.33984375,87200000,^N225,Indices,-0.0015902026539921406,-0.0014855034996568144,,0.7014206224714492,3.0470914127423825,,
2018-01-29,23629.33984375,23787.23046875,23580.169921875,23707.140625,68800000,^N225,Indices,-0.00010753068116506028,-0.0015764659058774063,,0.7005419271219543,-8.384879725085911,,
2018-01-30,23291.970703125,23581.98046875,23233.369140625,23559.330078125,88800000,^N225,Indices,-0.014380457433901669,-0.0070209466940796645,,0.5941230022324363,-3.9629268292682926,,
2018-01-31,23098.2890625,23375.380859375,23092.849609375,23205.23046875,99800000,^N225,Indices,-0.008350147939364104,-0.007164940691421906,,0.5431143556650603,-18.853982300884955,,
2018-02-01,23486.109375,23492.76953125,23211.119140625,23276.099609375,101800000,^N225,Indices,0.016650607735521964,-0.0015555461945802019,,0.614487201567219,4.122241086587437,,
2018-02-02,23274.529296875,23367.9609375,23122.44921875,23361.669921875,98600000,^N225,Indices,-0.009049556553079543,-0.003047416974397682,0.008144777756190845,0.562829916224924,1.7399041752224504,,
2018-02-05,22682.080078125,22967.689453125,22659.4296875,22921.16015625,107600000,^N225,Indices,-0.025784410551582468,-0.008182792948481165,0.00960626985084574,0.44900633459654365,1.363424848766868,,
2018-02-06,21610.240234375,22277.44921875,21078.7109375,22267.0,190100000,^N225,Indices,-0.04840790158496805,-0.01498828177869444,0.01391140746386963,0.3220945608169235,1.2983207112281856,,
2018-02-07,21645.369140625,22353.869140625,21627.130859375,22001.2890625,143500000,^N225,Indices,0.001624247790314854,-0.012993402632758649,0.013980507523945824,0.32879073592799374,0.37422552664188347,,
2018-02-08,21890.859375,21977.029296875,21649.69921875,21721.5703125,104700000,^N225,Indices,0.011277634495685007,-0.014067997280726038,0.01443110894499733,0.37523465815866,0.49088498508452094,,
2018-02-09,21382.619140625,21510.30078125,21119.009765625,21507.740234375,127600000,^N225,Indices,-0.0234907672254929,-0.016956239415208713,0.01506519917891046,0.32508305853373337,0.4424181863602299,,
2018-02-13,21244.6796875,21679.19921875,21211.529296875,21633.33984375,114700000,^N225,Indices,-0.006471905956486846,-0.013093738496189587,0.014959650578775885,0.3128611880867199,0.3626698168930891,,
2018-02-14,21154.169921875,21371.009765625,20950.150390625,21251.240234375,103900000,^N225,Indices,-0.004269450890519939,-0.0042660483572999645,0.014518634373781975,0.30476464653837065,0.1404011461318051,,
2018-02-15,21464.98046875,21578.990234375,21308.919921875,21384.099609375,86400000,^N225,Indices,0.014585746278990624,-0.001673748659564811,0.015241508997371759,0.3654901619285599,0.2797114517583408,,
2018-02-16,21720.25,21866.369140625,21499.880859375,21555.990234375,77800000,^N225,Indices,0.01182221336378096,-0.0015648328859456206,0.015716539978598263,0.4109938995701787,0.4046242774566473,,
2018-02-19,22149.2109375,22152.849609375,21858.330078125,21903.66015625,68500000,^N225,Indices,0.01955686713903755,0.007044693986960471,0.01656791989509425,0.47865476760697834,-0.024419812954624143,,
2018-02-20,21925.099609375,22063.869140625,21831.44921875,22054.3203125,67500000,^N225,Indices,-0.010169790832517064,0.006305117011754427,0.016602536710055005,0.4495963917855381,-0.08857101574916915,,
2018-02-21,21970.810546875,22130.580078125,21836.73046875,21942.419921875,77900000,^N225,Indices,0.002082697629933185,0.007575546715845052,0.01619267681293414,0.4568393873514545,-0.30540201005025125,,
2018-02-22,21736.439453125,21799.400390625,21626.849609375,21789.880859375,77300000,^N225,Indices,-0.010724689390083496,0.0025134595820302283,0.0162371246928138,0.42589325950486745,-0.11189402480270572,,
2018-02-23,21892.779296875,21903.390625,21741.630859375,21789.720703125,64600000,^N225,Indices,0.0071667803091089955,0.0015823729710958355,0.016371997158333963,0.45253423081291383,-0.10477999366888258,,
2018-02-26,22153.630859375,22226.529296875,22040.869140625,22134.640625,64600000,^N225,Indices,0.011844534490089539,3.9906441306233195e-05,0.01674322243005751,0.4946691059629589,-0.11059826025208597,,
2018-02-27,22389.859375,22502.05078125,22325.0703125,22391.669921875,74300000,^N225,Indices,0.010606745411291635,0.004195213690067973,0.01701753788159729,0.5299509656460014,-0.3235573874445149,,
2018-02-28,22068.240234375,22380.279296875,22068.240234375,22292.529296875,88800000,^N225,Indices,-0.01446866843795246,0.0008849404764908444,0.017020737269944027,0.480738125093973,-0.06764333514197862,,
2018-03-01,21724.470703125,21901.130859375,21645.220703125,21901.130859375,90300000,^N225,Indices,-0.015700174085174295,-0.0001101564625273159,0.017227282958619125,0.4343127421618059,-0.03871786734370042,,
2018-03-02,21181.640625,21366.08984375,21088.9609375,21339.98046875,97100000,^N225,Indices,-0.025304509140673937,-0.006604414352483902,0.017254449534681297,0.3730501518642611,0.2427510608203678,,
2018-03-05,21042.08984375,21164.380859375,20937.259765625,21047.810546875,87200000,^N225,Indices,-0.006610088110145384,-0.010295338872530885,0.017234144872930356,0.35902925874884095,0.5770459081836328,,
2018-03-06,21417.759765625,21551.140625,21381.419921875,21390.19921875,76400000,^N225,Indices,0.01769576333349755,-0.008877535288089706,0.01722224545076858,0.4220073650598221,0.6726037028357159,,
2018-03-07,21252.720703125,21484.080078125,21201.939453125,21261.9609375,87000000,^N225,Indices,-0.0077355531816944035,-0.007530912236838093,0.013577430918683386,0.4032615959493976,0.5532492725509215,,
2018-03-08,21368.0703125,21488.16015625,21299.400390625,21488.16015625,72100000,^N225,Indices,0.005412846090412821,-0.00330830820172067,0.013639820386744073,0.4225678603446051,0.20270716408055467,,
2018-03-09,21469.19921875,21884.44921875,21357.55078125,21594.220703125,110500000,^N225,Indices,0.004721547158762935,0.0026969030581667046,0.01341514244542547,0.43968343894888096,-0.12064305022051502,,
2018-03-12,21824.029296875,21971.16015625,21689.970703125,21826.099609375,70600000,^N225,Indices,0.016392310563310062,0.007297382792857793,0.012843768933697609,0.49611848210213616,-0.3070497405391722,,
2018-03-13,21968.099609375,21968.099609375,21700.779296875,21742.44921875,68100000,^N225,Indices,0.006579759233925402,0.005074181972943364,0.012774372407659178,0.5173736803207634,-0.32828919714165616,,
